<amsterdam:FastEthernet0/0, brussels:FastEthernet0/0>
<amsterdam:FastEthernet0/1, frankfurt:FastEthernet0/0>
<amsterdam:FastEthernet1/0, london:FastEthernet0/0>
<amsterdam:FastEthernet1/1, peeramsterdam0:FastEthernet0/0>
<amsterdam:FastEthernet2/0, rotterdam:FastEthernet0/0>
<athens:FastEthernet0/0, istanbul:FastEthernet0/0>
<athens:FastEthernet0/1, sofia:FastEthernet0/0>
<barcelona:FastEthernet0/0, madrid:FastEthernet0/0>
<barcelona:FastEthernet0/1, marseille:FastEthernet0/0>
<barcelona:FastEthernet1/0, peerbarcelona1:FastEthernet0/0>
<basel:FastEthernet0/0, geneva:FastEthernet0/0>
<basel:FastEthernet0/1, peerbasel2:FastEthernet0/0>
<basel:FastEthernet1/0, peerbasel3:FastEthernet0/0>
<basel:FastEthernet1/1, strasbourg:FastEthernet0/0>
<bratislava:FastEthernet0/0, budapest:FastEthernet0/0>
<bratislava:FastEthernet0/1, praha:FastEthernet0/0>
<bratislava:FastEthernet1/0, vienna:FastEthernet0/0>
<brussels:FastEthernet0/0, amsterdam:FastEthernet0/0>
<brussels:FastEthernet0/1, frankfurt:FastEthernet0/1>
<brussels:FastEthernet1/0, london:FastEthernet0/1>
<brussels:FastEthernet1/1, luxembourg:FastEthernet0/0>
<brussels:FastEthernet2/0, paris:FastEthernet0/0>
<brussels:FastEthernet2/1, peerbrussels4:FastEthernet0/0>
<brussels:FastEthernet3/0, peerbrussels5:FastEthernet0/0>
<brussels:FastEthernet3/1, peerbrussels6:FastEthernet0/0>
<brussels:FastEthernet4/0, rotterdam:FastEthernet0/1>
<bucharest:FastEthernet0/0, budapest:FastEthernet0/1>
<bucharest:FastEthernet0/1, istanbul:FastEthernet0/1>
<bucharest:FastEthernet1/0, kiev:FastEthernet0/0>
<budapest:FastEthernet0/0, bratislava:FastEthernet0/0>
<budapest:FastEthernet0/1, bucharest:FastEthernet0/0>
<budapest:FastEthernet1/0, sofia:FastEthernet0/1>
<budapest:FastEthernet1/1, zagreb:FastEthernet0/0>
<dublin:FastEthernet0/0, london:FastEthernet1/0>
<frankfurt:FastEthernet0/0, amsterdam:FastEthernet0/1>
<frankfurt:FastEthernet0/1, brussels:FastEthernet0/1>
<frankfurt:FastEthernet1/0, peerfrankfurt7:FastEthernet0/0>
<frankfurt:FastEthernet1/1, praha:FastEthernet0/1>
<frankfurt:FastEthernet2/0, stockholm:FastEthernet0/0>
<frankfurt:FastEthernet2/1, strasbourg:FastEthernet0/1>
<frankfurt:FastEthernet3/0, vienna:FastEthernet0/1>
<frankfurt:FastEthernet3/1, warsaw:FastEthernet0/0>
<frankfurt:FastEthernet4/0, zurich:FastEthernet0/0>
<geneva:FastEthernet0/0, basel:FastEthernet0/0>
<geneva:FastEthernet0/1, lyon:FastEthernet0/0>
<geneva:FastEthernet1/0, paris:FastEthernet0/1>
<geneva:FastEthernet1/1, peergeneva8:FastEthernet0/0>
