<albany:FastEthernet0/0, buffalo:FastEthernet0/0>
<albany:FastEthernet0/1, montreal:FastEthernet0/0>
<albany:FastEthernet1/0, newttyork:FastEthernet0/0>
<albany:FastEthernet1/1, worcester:FastEthernet0/0>
<albuquerque:FastEthernet0/0, coloradottsprings:FastEthernet0/0>
<albuquerque:FastEthernet0/1, elttpaso:FastEthernet0/0>
<alicante:FastEthernet0/0, murcia:FastEthernet0/0>
<alicante:FastEthernet0/1, valencia:FastEthernet0/0>
<alicante:FastEthernet1/0, peeralicante0:FastEthernet0/0>
<amsterdam:FastEthernet0/0, antwerp:FastEthernet0/0>
<amsterdam:FastEthernet0/1, cambridge:FastEthernet0/0>
<amsterdam:FastEthernet1/0, dusseldorf:FastEthernet0/0>
<antwerp:FastEthernet0/0, amsterdam:FastEthernet0/0>
<antwerp:FastEthernet0/1, brussels:FastEthernet0/0>
<arezzo:FastEthernet0/0, florence:FastEthernet0/0>
<arezzo:FastEthernet0/1, rome:FastEthernet0/0>
<atlanta:FastEthernet0/0, charlotte:FastEthernet0/0>
<atlanta:FastEthernet0/1, jacksonville:FastEthernet0/0>
<atlanta:FastEthernet1/0, nashville:FastEthernet0/0>
<atlanta:FastEthernet1/1, nodeid150:FastEthernet0/0>
<austin:FastEthernet0/0, houston:FastEthernet0/0>
<austin:FastEthernet0/1, santtantonio:FastEthernet0/0>
<avila:FastEthernet0/0, bilbao:FastEthernet0/0>
<avila:FastEthernet0/1, coimbra:FastEthernet0/0>
<avila:FastEthernet1/0, madrid:FastEthernet0/0>
<badajoz:FastEthernet0/0, lisbon:FastEthernet0/0>
<badajoz:FastEthernet0/1, sevilla:FastEthernet0/0>
<balchik:FastEthernet0/0, constanta:FastEthernet0/0>
<balchik:FastEthernet0/1, varna:FastEthernet0/0>
<baltimore:FastEthernet0/0, philadelphia:FastEthernet0/0>
<baltimore:FastEthernet0/1, washington:FastEthernet0/0>
<barcelona:FastEthernet0/0, nodeid171:FastEthernet0/0>
<barcelona:FastEthernet0/1, valencia:FastEthernet0/1>
<basel:FastEthernet0/0, bern:FastEthernet0/0>
<basel:FastEthernet0/1, zurich:FastEthernet0/0>
<berlin:FastEthernet0/0, dresden:FastEthernet0/0>
<berlin:FastEthernet0/1, hamburg:FastEthernet0/0>
<bern:FastEthernet0/0, basel:FastEthernet0/0>
<bern:FastEthernet0/1, geneva:FastEthernet0/0>
<bilbao:FastEthernet0/0, avila:FastEthernet0/0>
<bilbao:FastEthernet0/1, logrono:FastEthernet0/0>
<bilbao:FastEthernet1/0, santtsebastian:FastEthernet0/0>
<bilbao:FastEthernet1/1, santander:FastEthernet0/0>
<birmingham:FastEthernet0/0, nashville:FastEthernet0/1>
<birmingham:FastEthernet0/1, nodeid150:FastEthernet0/1>
<bocattraton:FastEthernet0/0, miami:FastEthernet0/0>
<boise:FastEthernet0/0, portland:FastEthernet0/0>
<boise:FastEthernet0/1, saltttlakettcity:FastEthernet0/0>
<bologna:FastEthernet0/0, florence:FastEthernet0/1>
<bologna:FastEthernet0/1, paduadashvenice:FastEthernet0/0>
<bordeaux:FastEthernet0/0, poiters:FastEthernet0/0>
<bordeaux:FastEthernet0/1, santtsebastian:FastEthernet0/1>
<bordeaux:FastEthernet1/0, toulouse:FastEthernet0/0>
<boston:FastEthernet0/0, liverpoolttsouthport:FastEthernet0/0>
<boston:FastEthernet0/1, london:FastEthernet0/0>
<boston:FastEthernet1/0, providence:FastEthernet0/0>
<boston:FastEthernet1/1, worcester:FastEthernet0/1>
<bratislava:FastEthernet0/0, brno:FastEthernet0/0>
<bratislava:FastEthernet0/1, bucharest:FastEthernet0/0>
<bratislava:FastEthernet1/0, budapest:FastEthernet0/0>
<bratislava:FastEthernet1/1, kiev:FastEthernet0/0>
<bratislava:FastEthernet2/0, vienna:FastEthernet0/0>
<bremen:FastEthernet0/0, hamburg:FastEthernet0/1>
<bremen:FastEthernet0/1, munster:FastEthernet0/0>
<brno:FastEthernet0/0, bratislava:FastEthernet0/0>
<brno:FastEthernet0/1, krakow:FastEthernet0/0>
<brno:FastEthernet1/0, prague:FastEthernet0/0>
<brussels:FastEthernet0/0, antwerp:FastEthernet0/1>
<brussels:FastEthernet0/1, london:FastEthernet0/1>
<brussels:FastEthernet1/0, paris:FastEthernet0/0>
<bucharest:FastEthernet0/0, bratislava:FastEthernet0/1>
<bucharest:FastEthernet0/1, constanta:FastEthernet0/1>
<bucharest:FastEthernet1/0, galati:FastEthernet0/0>
<bucharest:FastEthernet1/1, nodeid175:FastEthernet0/0>
<bucharest:FastEthernet2/0, nodeid176:FastEthernet0/0>
<budapest:FastEthernet0/0, bratislava:FastEthernet1/0>
<budapest:FastEthernet0/1, timisoara:FastEthernet0/0>
<buffalo:FastEthernet0/0, albany:FastEthernet0/0>
<buffalo:FastEthernet0/1, cleveland:FastEthernet0/0>
<buffalo:FastEthernet1/0, hamilton:FastEthernet0/0>
<burgas:FastEthernet0/0, kapitanttandreevo:FastEthernet0/0>
<burgas:FastEthernet0/1, varna:FastEthernet0/1>
<caen:FastEthernet0/0, rennes:FastEthernet0/0>
<caen:FastEthernet0/1, rouen:FastEthernet0/0>
<cambridge:FastEthernet0/0, amsterdam:FastEthernet0/1>
<cambridge:FastEthernet0/1, leeds:FastEthernet0/0>
<charlotte:FastEthernet0/0, atlanta:FastEthernet0/0>
<charlotte:FastEthernet0/1, nodeid148:FastEthernet0/0>
<chicago:FastEthernet0/0, desttmoines:FastEthernet0/0>
<chicago:FastEthernet0/1, milwaukee:FastEthernet0/0>
<chicago:FastEthernet1/0, southttbend:FastEthernet0/0>
<chicago:FastEthernet1/1, stttlouis:FastEthernet0/0>
<cincinnati:FastEthernet0/0, cleveland:FastEthernet0/1>
<cleveland:FastEthernet0/0, buffalo:FastEthernet0/1>
<cleveland:FastEthernet0/1, cincinnati:FastEthernet0/0>
<cleveland:FastEthernet1/0, columbus:FastEthernet0/0>
<cleveland:FastEthernet1/1, dayton:FastEthernet0/0>
<cleveland:FastEthernet2/0, pittsburgh:FastEthernet0/0>
<cleveland:FastEthernet2/1, toledo:FastEthernet0/0>
<coimbra:FastEthernet0/0, avila:FastEthernet0/1>
<coimbra:FastEthernet0/1, lisbon:FastEthernet0/1>
<coimbra:FastEthernet1/0, porto:FastEthernet0/0>
<cologne:FastEthernet0/0, dusseldorf:FastEthernet0/1>
<coloradottsprings:FastEthernet0/0, albuquerque:FastEthernet0/0>
<coloradottsprings:FastEthernet0/1, denver:FastEthernet0/0>
<columbus:FastEthernet0/0, cleveland:FastEthernet1/0>
<columbus:FastEthernet0/1, indianapolis:FastEthernet0/0>
<constanta:FastEthernet0/0, balchik:FastEthernet0/0>
<constanta:FastEthernet0/1, bucharest:FastEthernet0/1>
<copenhagen:FastEthernet0/0, hamburg:FastEthernet1/0>
<copenhagen:FastEthernet0/1, malmo:FastEthernet0/0>
<copenhagen:FastEthernet1/0, oslo:FastEthernet0/0>
<dallas:FastEthernet0/0, fortttworth:FastEthernet0/0>
<dallas:FastEthernet0/1, houston:FastEthernet0/1>
<dallas:FastEthernet1/0, tulsa:FastEthernet0/0>
<dayton:FastEthernet0/0, cleveland:FastEthernet1/1>
<denver:FastEthernet0/0, coloradottsprings:FastEthernet0/1>
<denver:FastEthernet0/1, kansasttcity:FastEthernet0/0>
<denver:FastEthernet1/0, saltttlakettcity:FastEthernet0/1>
<desttmoines:FastEthernet0/0, chicago:FastEthernet0/0>
<desttmoines:FastEthernet0/1, minneapolis:FastEthernet0/0>
<desttmoines:FastEthernet1/0, omaha:FastEthernet0/0>
<detroit:FastEthernet0/0, toledo:FastEthernet0/1>
<dijon:FastEthernet0/0, lyon:FastEthernet0/0>
<dortmund:FastEthernet0/0, essen:FastEthernet0/0>
<dortmund:FastEthernet0/1, munster:FastEthernet0/1>
<dresden:FastEthernet0/0, berlin:FastEthernet0/0>
<dresden:FastEthernet0/1, nuremberg:FastEthernet0/0>
<dresden:FastEthernet1/0, prague:FastEthernet0/1>
<dublin:FastEthernet0/0, london:FastEthernet1/0>
<dublin:FastEthernet0/1, manchester:FastEthernet0/0>
<dublin:FastEthernet1/0, nodeid147:FastEthernet0/0>
<dusseldorf:FastEthernet0/0, amsterdam:FastEthernet1/0>
<dusseldorf:FastEthernet0/1, cologne:FastEthernet0/0>
<dusseldorf:FastEthernet1/0, essen:FastEthernet0/1>
<dusseldorf:FastEthernet1/1, frankfurt:FastEthernet0/0>
<edinburgh:FastEthernet0/0, glasgow:FastEthernet0/0>
<edinburgh:FastEthernet0/1, newcastle:FastEthernet0/0>
<elttpaso:FastEthernet0/0, albuquerque:FastEthernet0/1>
<elttpaso:FastEthernet0/1, phoenix:FastEthernet0/0>
<elttpaso:FastEthernet1/0, santtantonio:FastEthernet0/1>
<essen:FastEthernet0/0, dortmund:FastEthernet0/0>
<essen:FastEthernet0/1, dusseldorf:FastEthernet1/0>
<florence:FastEthernet0/0, arezzo:FastEthernet0/0>
<florence:FastEthernet0/1, bologna:FastEthernet0/0>
<fortttworth:FastEthernet0/0, dallas:FastEthernet0/0>
<fortttworth:FastEthernet0/1, oklahomattcity:FastEthernet0/0>
<frankfurt:FastEthernet0/0, dusseldorf:FastEthernet1/1>
<frankfurt:FastEthernet0/1, mainzdashwiesbaden:FastEthernet0/0>
<frankfurt:FastEthernet1/0, mannheim:FastEthernet0/0>
<frankfurt:FastEthernet1/1, philadelphia:FastEthernet0/1>
<frankfurt:FastEthernet2/0, strasbourg:FastEthernet0/0>
<galati:FastEthernet0/0, bucharest:FastEthernet1/0>
<galati:FastEthernet0/1, odessa:FastEthernet0/0>
<geneva:FastEthernet0/0, bern:FastEthernet0/1>
<geneva:FastEthernet0/1, grenoble:FastEthernet0/0>
<genoa:FastEthernet0/0, milan:FastEthernet0/0>
