<abilene:FastEthernet0/0, sunn:FastEthernet0/0>
<albu:FastEthernet0/0, doedasha:FastEthernet0/0>
<albu:FastEthernet0/1, denv:FastEthernet0/0>
<albu:FastEthernet1/0, elpa:FastEthernet0/0>
<albu:FastEthernet1/1, lanl:FastEthernet0/0>
<albu:FastEthernet2/0, nrel:FastEthernet0/0>
<albu:FastEthernet2/1, snla:FastEthernet0/0>
<alliedttsignal:FastEthernet0/0, snla:FastEthernet0/1>
<ames:FastEthernet0/0, anl:FastEthernet0/0>
<ames:FastEthernet0/1, chic:FastEthernet0/0>
<ampath:FastEthernet0/0, sdsc:FastEthernet0/0>
<anl:FastEthernet0/0, ames:FastEthernet0/0>
<anl:FastEthernet0/1, fnal:FastEthernet0/0>
<arm:FastEthernet0/0, ornl:FastEthernet0/0>
<atla:FastEthernet0/0, elpa:FastEthernet0/1>
<atla:FastEthernet0/1, nash:FastEthernet0/0>
<atla:FastEthernet1/0, ornl:FastEthernet0/1>
<atla:FastEthernet1/1, srs:FastEthernet0/0>
<atla:FastEthernet2/0, wash:FastEthernet0/0>
<au:FastEthernet0/0, snv1:FastEthernet0/0>
<auid66:FastEthernet0/0, sea:FastEthernet0/0>
<bechteldashnv:FastEthernet0/0, sunn:FastEthernet0/1>
<bnl:FastEthernet0/0, newy:FastEthernet0/0>
<cern:FastEthernet0/0, chidashsl:FastEthernet0/0>
<cern:FastEthernet0/1, newy:FastEthernet0/1>
<chic:FastEthernet0/0, ames:FastEthernet0/1>
<chic:FastEthernet0/1, chidashsl:FastEthernet0/1>
<chic:FastEthernet1/0, denv:FastEthernet0/1>
<chic:FastEthernet1/1, equinix:FastEthernet0/0>
<chic:FastEthernet2/0, nash:FastEthernet0/1>
<chic:FastEthernet2/1, netl:FastEthernet0/0>
<chic:FastEthernet3/0, ornl:FastEthernet1/0>
<chic:FastEthernet3/1, saltttlake:FastEthernet0/0>
<chic:FastEthernet4/0, wash:FastEthernet0/1>
<chidashsl:FastEthernet0/0, cern:FastEthernet0/0>
<chidashsl:FastEthernet0/1, chic:FastEthernet0/1>
<chidashsl:FastEthernet1/0, fnal:FastEthernet0/1>
<chidashsl:FastEthernet1/1, starlight:FastEthernet0/0>
<denv:FastEthernet0/0, albu:FastEthernet0/1>
<denv:FastEthernet0/1, chic:FastEthernet1/0>
<denv:FastEthernet1/0, saltttlake:FastEthernet0/1>
<doe:FastEthernet0/0, wash:FastEthernet1/0>
<doedasha:FastEthernet0/0, albu:FastEthernet0/0>
<doedasha:FastEthernet0/1, pantex:FastEthernet0/0>
<doedasha:FastEthernet1/0, snla:FastEthernet1/0>
<doettgtn:FastEthernet0/0, wash:FastEthernet1/1>
<elpa:FastEthernet0/0, albu:FastEthernet1/0>
<elpa:FastEthernet0/1, atla:FastEthernet0/0>
<elpa:FastEthernet1/0, snv1:FastEthernet0/1>
<equinix:FastEthernet0/0, chic:FastEthernet1/1>
<equinixid53:FastEthernet0/0, wash:FastEthernet2/0>
<fnal:FastEthernet0/0, anl:FastEthernet0/1>
<fnal:FastEthernet0/1, chidashsl:FastEthernet1/0>
<ga:FastEthernet0/0, sdsc:FastEthernet0/1>
<geant:FastEthernet0/0, newy:FastEthernet1/0>
<inl:FastEthernet0/0, sea:FastEthernet0/1>
<jlab:FastEthernet0/0, wash:FastEthernet2/1>
<lanl:FastEthernet0/0, albu:FastEthernet1/1>
<ligo:FastEthernet0/0, pnnl:FastEthernet0/0>
<maxgpop:FastEthernet0/0, wash:FastEthernet3/0>
<nasa:FastEthernet0/0, snv1:FastEthernet1/0>
<nash:FastEthernet0/0, atla:FastEthernet0/1>
<nash:FastEthernet0/1, chic:FastEthernet2/0>
<netl:FastEthernet0/0, chic:FastEthernet2/1>
<netl:FastEthernet0/1, newy:FastEthernet1/1>
<netl:FastEthernet1/0, wash:FastEthernet3/1>
<newy:FastEthernet0/0, bnl:FastEthernet0/0>
<newy:FastEthernet0/1, cern:FastEthernet0/1>
<newy:FastEthernet1/0, geant:FastEthernet0/0>
<newy:FastEthernet1/1, netl:FastEthernet0/1>
<newy:FastEthernet2/0, pppl:FastEthernet0/0>
<newy:FastEthernet2/1, psfc:FastEthernet0/0>
<newy:FastEthernet3/0, sinet:FastEthernet0/0>
<newy:FastEthernet3/1, wash:FastEthernet4/0>
<nnsa:FastEthernet0/0, wash:FastEthernet4/1>
<noaa:FastEthernet0/0, ornl:FastEthernet1/1>
<nodeid16:FastEthernet0/0, nodeid17:FastEthernet0/0>
<nodeid16:FastEthernet0/1, nodeid25:FastEthernet0/0>
<nodeid17:FastEthernet0/0, nodeid16:FastEthernet0/0>
<nodeid17:FastEthernet0/1, nodeid39:FastEthernet0/0>
<nodeid20:FastEthernet0/0, wash:FastEthernet5/0>
<nodeid21:FastEthernet0/0, wash:FastEthernet5/1>
<nodeid25:FastEthernet0/0, nodeid16:FastEthernet0/1>
<nodeid25:FastEthernet0/1, snv1:FastEthernet1/1>
<nodeid38:FastEthernet0/0, nodeid39:FastEthernet0/1>
<nodeid38:FastEthernet0/1, nodeid41:FastEthernet0/0>
<nodeid39:FastEthernet0/0, nodeid17:FastEthernet0/1>
<nodeid39:FastEthernet0/1, nodeid38:FastEthernet0/0>
<nodeid40:FastEthernet0/0, nodeid41:FastEthernet0/1>
<nodeid40:FastEthernet0/1, sunn:FastEthernet1/0>
<nodeid41:FastEthernet0/0, nodeid38:FastEthernet0/1>
<nodeid41:FastEthernet0/1, nodeid40:FastEthernet0/0>
<nodeid42:FastEthernet0/0, sunn:FastEthernet1/1>
<nodeid43:FastEthernet0/0, sunn:FastEthernet2/0>
<nrel:FastEthernet0/0, albu:FastEthernet2/0>
<nrel:FastEthernet0/1, peernrel0:FastEthernet0/0>
<orau:FastEthernet0/0, ornl:FastEthernet2/0>
<ornl:FastEthernet0/0, arm:FastEthernet0/0>
<ornl:FastEthernet0/1, atla:FastEthernet1/0>
<ornl:FastEthernet1/0, chic:FastEthernet3/0>
<ornl:FastEthernet1/1, noaa:FastEthernet0/0>
<ornl:FastEthernet2/0, orau:FastEthernet0/0>
<ornl:FastEthernet2/1, osti:FastEthernet0/0>
<osti:FastEthernet0/0, ornl:FastEthernet2/1>
<pacificwave:FastEthernet0/0, sunn:FastEthernet2/1>
<pacwave:FastEthernet0/0, sea:FastEthernet1/1>
<pantex:FastEthernet0/0, doedasha:FastEthernet0/1>
<peernrel0:FastEthernet0/0, nrel:FastEthernet0/1>
<pnnl:FastEthernet0/0, ligo:FastEthernet0/0>
<pnnl:FastEthernet0/1, sea:FastEthernet1/0>
<pppl:FastEthernet0/0, newy:FastEthernet2/0>
<psfc:FastEthernet0/0, newy:FastEthernet2/1>
<saltttlake:FastEthernet0/0, chic:FastEthernet3/1>
<saltttlake:FastEthernet0/1, denv:FastEthernet1/0>
<saltttlake:FastEthernet1/0, sea:FastEthernet3/0>
<sdsc:FastEthernet0/0, ampath:FastEthernet0/0>
<sdsc:FastEthernet0/1, ga:FastEthernet0/0>
<sdsc:FastEthernet1/0, snv1:FastEthernet2/0>
<sea:FastEthernet0/0, auid66:FastEthernet0/0>
<sea:FastEthernet0/1, inl:FastEthernet0/0>
<sea:FastEthernet1/0, pnnl:FastEthernet0/1>
<sea:FastEthernet1/1, pacwave:FastEthernet0/0>
<sea:FastEthernet2/0, snv1:FastEthernet2/1>
<sea:FastEthernet2/1, sunn:FastEthernet3/0>
<sea:FastEthernet3/0, saltttlake:FastEthernet1/0>
<sinet:FastEthernet0/0, newy:FastEthernet3/0>
<snla:FastEthernet0/0, albu:FastEthernet2/1>
<snla:FastEthernet0/1, alliedttsignal:FastEthernet0/0>
<snla:FastEthernet1/0, doedasha:FastEthernet1/0>
<snv1:FastEthernet0/0, au:FastEthernet0/0>
<snv1:FastEthernet0/1, elpa:FastEthernet1/0>
<snv1:FastEthernet1/0, nasa:FastEthernet0/0>
<snv1:FastEthernet1/1, nodeid25:FastEthernet0/1>
<snv1:FastEthernet2/0, sdsc:FastEthernet1/0>
<snv1:FastEthernet2/1, sea:FastEthernet2/0>
<snv1:FastEthernet3/0, sunn:FastEthernet3/1>
<srs:FastEthernet0/0, atla:FastEthernet1/1>
<starlight:FastEthernet0/0, chidashsl:FastEthernet1/1>
<sunn:FastEthernet0/0, abilene:FastEthernet0/0>
<sunn:FastEthernet0/1, bechteldashnv:FastEthernet0/0>
<sunn:FastEthernet1/0, nodeid40:FastEthernet0/1>
<sunn:FastEthernet1/1, nodeid42:FastEthernet0/0>
<sunn:FastEthernet2/0, nodeid43:FastEthernet0/0>
<sunn:FastEthernet2/1, pacificwave:FastEthernet0/0>
<sunn:FastEthernet3/0, sea:FastEthernet2/1>
<sunn:FastEthernet3/1, snv1:FastEthernet3/0>
<sunn:FastEthernet4/0, yuccattmt:FastEthernet0/0>
<wash:FastEthernet0/0, atla:FastEthernet2/0>
<wash:FastEthernet0/1, chic:FastEthernet4/0>
<wash:FastEthernet1/0, doe:FastEthernet0/0>
<wash:FastEthernet1/1, doettgtn:FastEthernet0/0>
<wash:FastEthernet2/0, equinixid53:FastEthernet0/0>
<wash:FastEthernet2/1, jlab:FastEthernet0/0>
<wash:FastEthernet3/0, maxgpop:FastEthernet0/0>
<wash:FastEthernet3/1, netl:FastEthernet1/0>
<wash:FastEthernet4/0, newy:FastEthernet3/1>
<wash:FastEthernet4/1, nnsa:FastEthernet0/0>
<wash:FastEthernet5/0, nodeid20:FastEthernet0/0>
<wash:FastEthernet5/1, nodeid21:FastEthernet0/0>
<yuccattmt:FastEthernet0/0, sunn:FastEthernet4/0>
